agent_count,metric,coverage_target,method,family,description,n_features,accuracy,balanced_accuracy,f1,recall_not_helpful,recall_helpful,coverage,resolved_notes,accuracy_ci95_low,accuracy_ci95_high,coverage_ci95_low,coverage_ci95_high
36,full,,agent_votes_only,agent_identity,Per-agent binary vote indicators without summary quality features.,36,0.7945736434108527,0.7950168512277322,0.7905138339920948,0.7835820895522388,0.8064516129032258,1.0,258,0.7402131782945737,0.8488372093023255,1.0,1.0
36,full,,vote_plus_agent_votes,agent_identity,Vote share plus per-agent binary vote indicators.,37,0.7945736434108527,0.7950168512277322,0.7905138339920948,0.7835820895522388,0.8064516129032258,1.0,258,0.7440891472868217,0.8449612403100775,1.0,1.0
36,full,,cumulative_through_quality,cumulative,Cumulative feature set through quality.,11,0.8255813953488372,0.8272749157438614,0.8275862068965517,0.7835820895522388,0.8709677419354839,1.0,258,0.7790697674418605,0.8682170542635659,1.0,1.0
36,full,,cumulative_through_cluster_disagreement,cumulative,Cumulative feature set through cluster_disagreement.,18,0.8217054263565892,0.8235435724602793,0.8244274809160306,0.7761194029850746,0.8709677419354839,1.0,258,0.7751937984496124,0.8566860465116279,1.0,1.0
36,full,,cumulative_through_failure,cumulative,Cumulative feature set through failure.,14,0.8178294573643411,0.8198122291766972,0.8212927756653993,0.7686567164179104,0.8709677419354839,1.0,258,0.7712209302325582,0.8643410852713178,1.0,1.0
36,full,,cumulative_through_cluster_quality,cumulative,Cumulative feature set through cluster_quality.,23,0.813953488372093,0.815779971112181,0.816793893129771,0.7686567164179104,0.8629032258064516,1.0,258,0.7673449612403102,0.8566860465116279,1.0,1.0
36,full,,cumulative_through_vote_uncertainty,cumulative,Cumulative feature set through vote_uncertainty.,4,0.7945736434108527,0.7962205103514685,0.7969348659003831,0.753731343283582,0.8387096774193549,1.0,258,0.7440891472868217,0.8489341085271318,1.0,1.0
36,full,,cumulative_through_confidence,cumulative,Cumulative feature set through confidence.,6,0.7906976744186046,0.7921882522869523,0.7923076923076923,0.753731343283582,0.8306451612903226,1.0,258,0.7403100775193798,0.8372093023255814,1.0,1.0
36,full,,summary_all,full_model,All non-agent summary features.,23,0.813953488372093,0.815779971112181,0.816793893129771,0.7686567164179104,0.8629032258064516,1.0,258,0.7635658914728682,0.8606589147286822,1.0,1.0
36,full,,hybrid_all,full_model,All summary features plus per-agent vote indicators.,59,0.7984496124031008,0.7999518536350505,0.8,0.7611940298507462,0.8387096774193549,1.0,258,0.7518410852713179,0.8410852713178295,1.0,1.0
36,full,,summary_minus_quality,leave_one_group_out,All summary features except quality.,18,0.8333333333333334,0.8335339431872894,0.8286852589641435,0.8283582089552238,0.8387096774193549,1.0,258,0.7829457364341085,0.8721899224806202,1.0,1.0
36,full,,summary_minus_cluster_quality,leave_one_group_out,All summary features except cluster_quality.,18,0.8217054263565892,0.8235435724602793,0.8244274809160306,0.7761194029850746,0.8709677419354839,1.0,258,0.7868217054263565,0.8682170542635659,1.0,1.0
36,full,,summary_minus_failure,leave_one_group_out,All summary features except failure.,20,0.8178294573643411,0.8195113143957631,0.8199233716475096,0.7761194029850746,0.8629032258064516,1.0,258,0.7634689922480621,0.8604651162790697,1.0,1.0
36,full,,summary_minus_confidence,leave_one_group_out,All summary features except confidence.,21,0.813953488372093,0.8154790563312471,0.8153846153846154,0.7761194029850746,0.8548387096774194,1.0,258,0.7674418604651163,0.8643410852713178,1.0,1.0
36,full,,hybrid_minus_agent_votes,leave_one_group_out,Hybrid feature set without per-agent vote indicators.,23,0.813953488372093,0.815779971112181,0.816793893129771,0.7686567164179104,0.8629032258064516,1.0,258,0.7674418604651163,0.860562015503876,1.0,1.0
36,full,,summary_minus_vote_uncertainty,leave_one_group_out,All summary features except vote_uncertainty.,20,0.810077519379845,0.812048627828599,0.8136882129277566,0.7611940298507462,0.8629032258064516,1.0,258,0.755717054263566,0.8565891472868217,1.0,1.0
36,full,,summary_minus_cluster_disagreement,leave_one_group_out,All summary features except cluster_disagreement.,19,0.8062015503875969,0.8080163697640828,0.8091603053435115,0.7611940298507462,0.8548387096774194,1.0,258,0.7596899224806202,0.8488372093023255,1.0,1.0
36,full,,vote_plus_quality,single_addition,Vote share plus structured note-quality judgments.,6,0.8217054263565892,0.8223399133365431,0.8188976377952756,0.8059701492537313,0.8387096774193549,1.0,258,0.7750968992248063,0.8683139534883721,1.0,1.0
36,full,,vote_plus_cluster_quality,single_addition,Vote share plus cluster-level quality statistics.,6,0.810077519379845,0.8108449687048628,0.807843137254902,0.7910447761194029,0.8306451612903226,1.0,258,0.7593992248062016,0.8528100775193799,1.0,1.0
36,full,,vote_only,single_addition,Only aggregate Helpful vote share.,1,0.8023255813953488,0.8021786230139625,0.7951807228915663,0.8059701492537313,0.7983870967741935,1.0,258,0.755717054263566,0.8527131782945736,1.0,1.0
36,full,,vote_plus_uncertainty,single_addition,"Vote share plus vote-count, margin, and entropy features.",4,0.7945736434108527,0.7962205103514685,0.7969348659003831,0.753731343283582,0.8387096774193549,1.0,258,0.748062015503876,0.8373062015503877,1.0,1.0
36,full,,vote_plus_confidence,single_addition,Vote share plus mean confidence and confidence-weighted Helpful share.,3,0.7906976744186046,0.789179104477612,0.775,0.8283582089552238,0.75,1.0,258,0.748062015503876,0.8410852713178295,1.0,1.0
36,full,,vote_plus_cluster_disagreement,single_addition,Vote share plus between-cluster disagreement statistics.,5,0.7868217054263565,0.7878550794415022,0.7859922178988327,0.7611940298507462,0.8145161290322581,1.0,258,0.7364341085271318,0.8373062015503877,1.0,1.0
36,full,,vote_plus_failure,single_addition,Vote share plus explicit failure signals.,4,0.7829457364341085,0.7811145883485797,0.7647058823529411,0.8283582089552238,0.7338709677419355,1.0,258,0.7325581395348837,0.8372093023255814,1.0,1.0
36,full,,vote_plus_quality_plus_cluster_quality,targeted_combo,Vote share plus structured quality judgments and cluster-level quality statistics.,11,0.8217054263565892,0.8208353394318728,0.8114754098360656,0.8432835820895522,0.7983870967741935,1.0,258,0.7789728682170544,0.8644379844961241,1.0,1.0
36,full,,vote_plus_uncertainty_plus_quality_plus_cluster_quality,targeted_combo,"Vote share plus uncertainty, structured quality judgments, and cluster-level quality statistics.",14,0.8178294573643411,0.8192103996148291,0.8185328185328186,0.7835820895522388,0.8548387096774194,1.0,258,0.7635658914728682,0.8565891472868217,1.0,1.0
36,full,,vote_plus_confidence_plus_quality_plus_cluster_quality,targeted_combo,"Vote share plus confidence, structured quality judgments, and cluster-level quality statistics.",13,0.810077519379845,0.8102431391429947,0.8047808764940239,0.8059701492537313,0.8145161290322581,1.0,258,0.7635658914728682,0.8565891472868217,1.0,1.0
36,resolved,0.65,vote_plus_agent_votes,agent_identity,Vote share plus per-agent binary vote indicators.,37,0.8602150537634409,0.8453803383414172,0.8194444444444444,0.9439252336448598,0.7468354430379747,0.7209302325581395,186,0.8010226139008979,0.9076585912552199,0.6666666666666666,0.7751937984496124
36,resolved,0.65,agent_votes_only,agent_identity,Per-agent binary vote indicators without summary quality features.,36,0.8571428571428571,0.8425925925925926,0.8163265306122449,0.9444444444444444,0.7407407407407407,0.7325581395348837,189,0.8065922935259953,0.9038016663219782,0.6743217054263566,0.7791666666666668
36,resolved,0.65,cumulative_through_cluster_disagreement,cumulative,Cumulative feature set through cluster_disagreement.,18,0.9122807017543859,0.915315934065934,0.9112426035502958,0.8681318681318682,0.9625,0.6627906976744186,171,0.864161220043573,0.9461315604085946,0.5968023255813953,0.7132751937984497
36,resolved,0.65,cumulative_through_failure,cumulative,Cumulative feature set through failure.,14,0.9117647058823529,0.9117401585756015,0.9056603773584906,0.9120879120879121,0.9113924050632911,0.6589147286821705,170,0.8683972733037413,0.957837637977058,0.6007751937984496,0.7132751937984497
36,resolved,0.65,cumulative_through_quality,cumulative,Cumulative feature set through quality.,11,0.9085365853658537,0.9115355805243446,0.9044585987261147,0.8764044943820225,0.9466666666666667,0.6356589147286822,164,0.8673348566680515,0.9480936661104259,0.5852713178294574,0.6937984496124031
36,resolved,0.65,cumulative_through_cluster_quality,cumulative,Cumulative feature set through cluster_quality.,23,0.90625,0.9093843489214297,0.9019607843137255,0.8735632183908046,0.9452054794520548,0.6201550387596899,160,0.8637842023748064,0.9487421383647798,0.5619186046511628,0.6783914728682171
36,resolved,0.65,cumulative_through_confidence,cumulative,Cumulative feature set through confidence.,6,0.8602150537634409,0.8504924953095685,0.8289473684210527,0.9326923076923077,0.7682926829268293,0.7209302325581395,186,0.8117703533026113,0.9005474170169964,0.6781976744186047,0.7751937984496124
36,resolved,0.65,cumulative_through_vote_uncertainty,cumulative,Cumulative feature set through vote_uncertainty.,4,0.8392857142857143,0.838165987698698,0.8285714285714286,0.8632478632478633,0.8130841121495327,0.8682170542635659,224,0.7856749528005035,0.8831833326348435,0.8294573643410853,0.9108527131782945
