distribution,year,population_count,sample_count,population_prop,sample_prop,abs_prop_diff,status_label,primary_topic
year_status_topic,2021.0,8737,73,0.003640498577884669,0.00365,9.501422115330838e-06,Need More Ratings,Factual error
year_status_topic,2021.0,695,6,0.0002895898491049382,0.0003,1.0410150895061776e-05,Need More Ratings,Manipulated media
year_status_topic,2021.0,2946,25,0.0012275276193714358,0.00125,2.24723806285642e-05,Need More Ratings,Missing important context
year_status_topic,2021.0,2440,20,0.0010166895421813656,0.001,1.668954218136563e-05,Need More Ratings,Not misleading
year_status_topic,2021.0,190,2,7.91684479567457e-05,0.0001,2.0831552043254308e-05,Need More Ratings,Other
year_status_topic,2021.0,386,3,0.00016083695216475704,0.00015,1.083695216475705e-05,Need More Ratings,Outdated information
year_status_topic,2021.0,240,2,0.00010000225005062614,0.0001,2.250050626137587e-09,Need More Ratings,Satire
year_status_topic,2021.0,900,8,0.00037500843768984804,0.0004,2.499156231015198e-05,Need More Ratings,Unverified claim as fact
year_status_topic,2021.0,52,0,2.1667154177635663e-05,0.0,2.1667154177635663e-05,Not Helpful,Factual error
year_status_topic,2021.0,8,0,3.3334083350208713e-06,0.0,3.3334083350208713e-06,Not Helpful,Manipulated media
year_status_topic,2021.0,39,0,1.6250365633226748e-05,0.0,1.6250365633226748e-05,Not Helpful,Missing important context
year_status_topic,2021.0,6,0,2.5000562512656535e-06,0.0,2.5000562512656535e-06,Not Helpful,Other
year_status_topic,2021.0,2,0,8.333520837552178e-07,0.0,8.333520837552178e-07,Not Helpful,Outdated information
year_status_topic,2021.0,4,0,1.6667041675104356e-06,0.0,1.6667041675104356e-06,Not Helpful,Satire
year_status_topic,2021.0,14,0,5.833464586286525e-06,0.0,5.833464586286525e-06,Not Helpful,Unverified claim as fact
year_status_topic,2022.0,948,8,0.00039500888769997323,0.0004,4.991112300026788e-06,Helpful,Factual error
year_status_topic,2022.0,265,2,0.00011041915109756636,0.0001,1.0419151097566353e-05,Helpful,Manipulated media
year_status_topic,2022.0,429,4,0.00017875402196549422,0.0002,2.124597803450579e-05,Helpful,Missing important context
year_status_topic,2022.0,11,0,4.583436460653698e-06,0.0,4.583436460653698e-06,Helpful,Other
year_status_topic,2022.0,98,1,4.0834252104005676e-05,5e-05,9.165747895994326e-06,Helpful,Outdated information
year_status_topic,2022.0,62,1,2.5833914596411753e-05,5e-05,2.416608540358825e-05,Helpful,Satire
year_status_topic,2022.0,51,0,2.1250478135758056e-05,0.0,2.1250478135758056e-05,Helpful,Unverified claim as fact
