year,status_label,primary_topic,population_count,target_sample_count,population_prop,target_sample_prop,abs_prop_diff
2023,Not Helpful,Unverified claim as fact,646,5,0.0002691727230529354,0.00025,1.9172723052935368e-05
2024,Helpful,Factual error,45374,378,0.018906258724154627,0.0189,6.258724154627193e-06
2024,Helpful,Manipulated media,12027,100,0.005011362755662003,0.005,1.1362755662002594e-05
2024,Helpful,Missing important context,19417,162,0.008090598705137533,0.0081,9.401294862466936e-06
2024,Helpful,Other,4590,38,0.0019125430322182249,0.0019,1.2543032218224892e-05
2024,Helpful,Outdated information,6601,55,0.0027504785524340965,0.00275,4.785524340966685e-07
2024,Helpful,Satire,977,8,0.0004070924929144239,0.0004,7.0924929144238966e-06
2024,Helpful,Unverified claim as fact,2190,18,0.0009125205317119635,0.0009,1.2520531711963543e-05
2024,Need More Ratings,Factual error,333229,2777,0.13884854075883374,0.13885,1.4592411662628368e-06
2024,Need More Ratings,Manipulated media,57456,479,0.023940538662119898,0.02395,9.461337880101173e-06
2024,Need More Ratings,Missing important context,149215,1244,0.06217431558876741,0.0622,2.568441123258769e-05
2024,Need More Ratings,Not misleading,238129,1984,0.09922264917627313,0.0992,2.2649176273134564e-05
2024,Need More Ratings,Other,30918,258,0.012882789862771912,0.0129,1.721013722808841e-05
2024,Need More Ratings,Outdated information,42397,353,0.017665814147484984,0.01765,1.581414748498544e-05
2024,Need More Ratings,Satire,7352,61,0.003063402259884181,0.00305,1.3402259884180614e-05
2024,Need More Ratings,Unverified claim as fact,20684,172,0.008618527250196463,0.0086,1.8527250196463327e-05
2024,Not Helpful,Factual error,8823,74,0.0036763327174861435,0.0037,2.3667282513856712e-05
2024,Not Helpful,Manipulated media,1529,13,0.000637097668030864,0.00065,1.2902331969135957e-05
2024,Not Helpful,Missing important context,5030,42,0.002095880490644373,0.0021,4.119509355627032e-06
2024,Not Helpful,Not misleading,12983,108,0.005409705051696996,0.0054,9.70505169699612e-06
2024,Not Helpful,Other,1835,15,0.0007646005368454124,0.00075,1.4600536845412338e-05
2024,Not Helpful,Outdated information,1465,12,0.0006104304013506971,0.0006,1.0430401350697109e-05
2024,Not Helpful,Satire,794,7,0.0003308407772508215,0.00035,1.9159222749178515e-05
2024,Not Helpful,Unverified claim as fact,929,8,0.00038709204290429867,0.0004,1.2907957095701348e-05
2025,Helpful,Factual error,33242,277,0.013851144984095476,0.01385,1.144984095476781e-06
2025,Helpful,Manipulated media,10724,89,0.004468433873095478,0.00445,1.843387309547785e-05
2025,Helpful,Missing important context,12601,105,0.00525053480369975,0.00525,5.34803699749932e-07
2025,Helpful,Other,3762,31,0.0015675352695435647,0.00155,1.7535269543564715e-05
