distribution,semantic_topic,population_count,sample_count,population_prop,sample_prop,abs_prop_diff,year,status_label
year_semantic_topic,social_culture_identity,30305,257,0.012627362187581643,0.01285,0.00022263781241835777,2025.0,
year_semantic_topic,war_geopolitics_international,39400,325,0.01641702920939504,0.01625,0.0001670292093950386,2025.0,
year_semantic_topic,crime_law_public_safety,13642,123,0.005684292194785968,0.00615,0.00046570780521403184,2026.0,
year_semantic_topic,economy_business_crypto,7444,65,0.00310173516331819,0.00325,0.00014826483668180972,2026.0,
year_semantic_topic,entertainment_sports_gaming,7683,65,0.003201320695832033,0.00325,4.867930416796668e-05,2026.0,
year_semantic_topic,health_science_medicine,5971,50,0.00248797160937304,0.0025,1.2028390626959897e-05,2026.0,
year_semantic_topic,other_misc,14059,109,0.00585804603184987,0.00545,0.0004080460318498704,2026.0,
year_semantic_topic,platform_media_internet,143422,1202,0.0597604863774075,0.0601,0.000339513622592498,2026.0,
year_semantic_topic,politics_elections_government,29908,251,0.012461941867882916,0.01255,8.805813211708487e-05,2026.0,
year_semantic_topic,social_culture_identity,11181,101,0.004658852883001166,0.00505,0.0003911471169988339,2026.0,
year_semantic_topic,war_geopolitics_international,22241,164,0.009267287985943022,0.0082,0.0010672879859430218,2026.0,
status_semantic_topic,crime_law_public_safety,10369,88,0.0043205120779750555,0.0044,7.948792202494472e-05,,Helpful
status_semantic_topic,economy_business_crypto,18714,147,0.007797672198594386,0.00735,0.00044767219859438625,,Helpful
status_semantic_topic,entertainment_sports_gaming,7223,59,0.0030096497964330047,0.00295,5.9649796433004776e-05,,Helpful
status_semantic_topic,health_science_medicine,7885,73,0.003285489221220302,0.00365,0.00036451077877969803,,Helpful
status_semantic_topic,other_misc,936,11,0.00039000861269019693,0.00055,0.0001599913873098031,,Helpful
status_semantic_topic,platform_media_internet,137495,1145,0.05729084850623785,0.05725,4.084850623784636e-05,,Helpful
status_semantic_topic,politics_elections_government,18606,148,0.007752671204822439,0.0074,0.0003526712048224391,,Helpful
status_semantic_topic,social_culture_identity,8469,69,0.0035288279282834163,0.00345,7.882792828341634e-05,,Helpful
status_semantic_topic,war_geopolitics_international,12295,108,0.005123029800241422,0.0054,0.00027697019975857825,,Helpful
status_semantic_topic,crime_law_public_safety,96221,855,0.0400929687197259,0.04275,0.0026570312802741067,,Need More Ratings
status_semantic_topic,economy_business_crypto,111943,906,0.046643946720490076,0.0453,0.001343946720490076,,Need More Ratings
status_semantic_topic,entertainment_sports_gaming,42733,378,0.01780580987830148,0.0189,0.0010941901216985211,,Need More Ratings
status_semantic_topic,health_science_medicine,77717,662,0.032382798453465846,0.0331,0.0007172015465341519,,Need More Ratings
status_semantic_topic,other_misc,208845,1750,0.08702067170650019,0.0875,0.0004793282934998089,,Need More Ratings
status_semantic_topic,platform_media_internet,1062260,8843,0.4426181078165476,0.44215,0.0004681078165476027,,Need More Ratings
