method,family,n_features,accuracy,balanced_accuracy,n,recall_not_helpful,n_not_helpful,recall_needs_more_ratings,n_needs_more_ratings,recall_helpful,n_helpful,feature_set,accuracy_pct,balanced_accuracy_pct,recall_not_helpful_pct,recall_needs_more_ratings_pct,recall_helpful_pct
always_nmr,baseline,0,0.8875,0.3333333333333333,2000,0.0,76,1.0,1775,0.0,149,,88.75,33.33333333333333,0.0,100.0,0.0
nested_lr_summary,nested_lr,109,0.885,0.33444370923527744,2000,0.0,76,0.9966197183098592,1775,0.006711409395973154,149,summary,88.5,33.44437092352774,0.0,99.66197183098592,0.6711409395973155
nested_lr_full_agent,nested_lr,237,0.88,0.3305164319248826,2000,0.0,76,0.9915492957746479,1775,0.0,149,full_agent,88.0,33.051643192488264,0.0,99.15492957746478,0.0
raw_vote_majority_somewhat_as_nmr,baseline,0,0.604,0.46085772375925166,2000,0.5921052631578947,76,0.6428169014084507,1775,0.1476510067114094,149,,60.4,46.08577237592517,59.210526315789465,64.28169014084507,14.76510067114094
raw_score_thresholds_0p33_0p67,baseline,0,0.555,0.49428445629623735,2000,0.6710526315789473,76,0.5769014084507043,1775,0.2348993288590604,149,,55.50000000000001,49.42844562962374,67.10526315789474,57.690140845070424,23.48993288590604
