distribution,semantic_topic,population_count,sample_count,population_prop,sample_prop,abs_prop_diff
semantic_topic,platform_media_internet,1240110,10977,0.5167239109863676,0.5111287018066679,0.0055952091796996895
semantic_topic,politics_elections_government,281195,2708,0.11716717077502128,0.12609424473831254,0.00892707396329126
semantic_topic,other_misc,229008,2198,0.0954221072382015,0.10234680573663625,0.006924698498434745
semantic_topic,war_geopolitics_international,170272,1536,0.07094823344015513,0.0715216986403427,0.0005734652001875701
semantic_topic,economy_business_crypto,132533,855,0.055223302847937895,0.039811883032222016,0.01541141981571588
semantic_topic,crime_law_public_safety,109739,999,0.045725593106847776,0.046517042279754145,0.0007914491729063694
semantic_topic,social_culture_identity,97850,870,0.040771733709119407,0.04051033712050661,0.00026139658861279447
semantic_topic,health_science_medicine,87023,874,0.036260384083481846,0.04069659154404917,0.004436207460567325
semantic_topic,entertainment_sports_gaming,52217,459,0.021757563812867534,0.02137269510150866,0.0003848687113588746
